review_id,AED_ID_1,AED_ID_2,building_1,building_2,road_1,road_2,postal_code_1,postal_code_2,location_1,location_2,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,rule,confidence,reason,human_label,reviewer_note
76,409057-005,409057-013,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B2 Fire Lift Lobby 1,Level 7 Fire Lift Lobby 1 (Rooftop),1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
77,409057-006,409057-007,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level B1 Customer Service Counter,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
78,409057-006,409057-008,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 1 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
79,409057-006,409057-009,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 2 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
80,409057-006,409057-010,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 3 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
81,409057-006,409057-011,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 4 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
82,409057-006,409057-012,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 5 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
83,409057-006,409057-013,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Fire Lift Lobby 1,Level 7 Fire Lift Lobby 1 (Rooftop),1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
84,409057-007,409057-008,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Customer Service Counter,Level 1 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
85,409057-007,409057-009,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B1 Customer Service Counter,Level 2 Fire Lift Lobby 1,1.31756997,103.8925095,1.31756997,103.8925095,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
